datetime,user,text,group_id,clean_text,year,quarter,month
2025-06-27 20:10:54,Cat,do they come to our home or we need to go to their place? ‎<This message was edited>,2025 DEC SG Mummys,come home need go place ‎this message edited,2025,2,6
2025-06-27 20:17:09,Nat,Come to your home,2025 DEC SG Mummys,come home,2025,2,6
2025-06-27 20:17:25,Nat,And you can add on to rent their bed else they will do it on your bed with towels laying out,2025 DEC SG Mummys,add rent bed else bed towels laying,2025,2,6
2025-06-27 20:22:45,Nat,Same masseur comes for your 5/7/10 sessions depending how many you book,2025 DEC SG Mummys,masseur comes sessions depending many book,2025,2,6
2025-06-27 20:23:50,faith tan,How are the charges like.. is it painful? 😆 mine was n i stopped after 3 sessions last time.,2025 DEC SG Mummys,charges like painful mine n stopped sessions last time,2025,2,6
2025-06-27 20:25:22,Cat,is it portable bed? how much is the rent?,2025 DEC SG Mummys,portable bed much rent,2025,2,6
2025-06-27 20:31:35,Nat,https://pampermejamuwellness.com/pricing/ Pricing - Pamper Me Jamu Wellness,2025 DEC SG Mummys,pricing pampers jamu wellness,2025,2,6
2025-06-27 20:32:48,Nat,It wasn’t painful for me and it was quite comfy I fell asleep most times haha,2025 DEC SG Mummys,’ painful quite comfy fell asleep times haha,2025,2,6
2025-06-27 20:38:42,Mai Ho,"Hello, I’m Mai and new to Singapore, expecting our second. Oldest being 3.",2025 DEC SG Mummys,hello ’ mai new singapore expecting second oldest,2025,2,6
2025-06-27 20:43:36,Shee Ting Ng,"If take ten sessions, is it do it continuously on daily basis?",2025 DEC SG Mummys,take ten sessions continuously daily basis,2025,2,6
2025-06-27 20:43:55,Shee Ting Ng,"Last time I took five sessions from another postnatal massage, she came daily for five days",2025 DEC SG Mummys,last time took five sessions another postnatal massage came daily five days,2025,2,6
2025-06-27 20:45:40,Nat,Yep it’s continuous but last time I rmb weekends were skipped so that you and masseur can rest. u can also choose 5 or 7 sessions :),2025 DEC SG Mummys,yep ’ continuous last time rmb weekends skipped masseur rest also choose sessions,2025,2,6
2025-06-27 20:45:57,Nat,They say if u really want sat can try to arrange but Sunday is closed,2025 DEC SG Mummys,say really want sat try arrange sunday closed,2025,2,6
2025-06-27 20:46:13,Nat,Cos it’s 5 day work week,2025 DEC SG Mummys,cos ’ day work week,2025,2,6
2025-06-27 20:46:32,Nat,If they work 7 days performance may be affected,2025 DEC SG Mummys,work days performance may affected,2025,2,6
2025-06-27 20:48:13,Shee Ting Ng,I see. Got it. Thx.,2025 DEC SG Mummys,see got thanks,2025,2,6
2025-06-27 23:14:45,YN. ᥫ᭡,Hi Mai. 👋🏻,2025 DEC SG Mummys,hi mai,2025,2,6
2025-06-27 23:19:08,Jassy ❤️,"Hi . I do have contact for helpers . If you need , I can send you the contact",2025 DEC SG Mummys,hi contact helpers need send contact,2025,2,6
2025-06-27 23:19:46,Ivy,"Hello! I had PEM for my #1, confinement angels for #2, private hire nanny from malaysia for #3.",2025 DEC SG Mummys,hello pem confinement angels private hire nanny malaysia,2025,2,6
2025-06-28 00:01:59,Mai Ho,That would be great!,2025 DEC SG Mummys,would great,2025,2,6
