datetime,user,text,group_id,clean_text,year,quarter,month
2025-06-27 11:21:16,Liz,you can find out from doc about size of baby if its small or big or average at week 20 detailed scan.,2025 NOV SG Mummys,find doc size baby small big average week detailed scan,2025,2,6
2025-06-27 11:23:26,Liana,Yup my first one was below average my current one is above average lol,2025 NOV SG Mummys,yup first one average current one average lol,2025,2,6
2025-06-27 11:28:28,Xindi,Mine quite big 🥹 though I only eat as per normal. Dr asked me to cut all sugary stuff,2025 NOV SG Mummys,mine quite big though eat per normal dr asked cut sugary stuff,2025,2,6
2025-06-27 11:36:55,Ningsta,"Agree! As long as ur baby is still growing according to the growth curve, didn't  suddenly drop off the percentile curve",2025 NOV SG Mummys,agree long ur baby still growing according growth curve didnt suddenly drop percentile curve,2025,2,6
2025-06-27 12:07:04,Nicole,This is too cute for nb photoshoot 🥰,2025 NOV SG Mummys,cute nb photoshoot,2025,2,6
2025-06-27 15:14:30,Ningsta,by the way.... are there any mummies interested in hypnobirthing? to reduce labour pain and birth trauma 🙂 i'm asking doula lorraine to start a class for me 30 Aug - 27 Sep (5 saturdays).,2025 NOV SG Mummys,way mummies interested hypnobirthing reduce labour pain birth trauma im asking doula lorraine start class aug sep saturdays,2025,2,6
2025-06-27 22:58:18,Yud,"FYI mummies, my hubby and I have been using AirPod to listen to baby movement in the stomach about 2weeks ago since I couldn’t feel kicks or movement. Those who still cannot feel or those hubby who cannot feel the kicks yet, can try also. It’s amazing, sometimes we can hear babies’ heartbeat too (if position is just nice) ‎<This message was edited>",2025 NOV SG Mummys,fyi mummies hubby using airpod listen baby movement stomach weeks ago since ’ feel kicks movement still feel hubby feel kicks yet try also ’ amazing sometimes hear babies ’ heartbeat position nice ‎this message edited,2025,2,6
2025-06-27 23:03:31,NH,How does this work,2025 NOV SG Mummys,work,2025,2,6
2025-06-27 23:04:34,Yud,Oh ya I only know how it works for iPhone,2025 NOV SG Mummys,oh ya know works iphone,2025,2,6
2025-06-27 23:21:14,👱🏻‍♀️ キャシー,"Oh, this seems cool. Maybe tomorrow I should try with my hub. ‎<This message was edited>",2025 NOV SG Mummys,oh seems cool maybe tomorrow try hub ‎this message edited,2025,2,6
